Route Id,Planet Origin,Planet Destination,Traffic Delay (Light Years)
1,A,B,0.30
2,A,C,0.90
3,A,D,0.10
4,B,H,0.20
5,B,E,1.30
6,C,F,0.30
7,D,L,0.00
8,D,M,0.20
9,H,G,3.10
10,E,I,6.10
11,F,J,2.40
12,F,K,0.30
13,G,Z,4.00
14,I,Z,3.70
15,I,J,2.90
16,L,T,9.80
17,T,N,8.80
18,T,S,13.40
19,S,O,6.00
20,O,U,3.50
21,J,R,5.40
22,R,P,1.90
23,R,L',0.70
24,Z,Y,3.20
25,Y,Q,20.30
26,Q,X,10.40
27,L',X,8.10
28,X,K',0.70
29,P,U,8.40
30,U,K',12.30
31,U,J',2.50
32,J',V,3.00
33,K',V,7.20
34,J',I',13.40
35,Y,A',17.00
36,A',B',7.20
37,B',C',21.30
38,K',W,16.00
39,W,C',4.70
40,W,E',33.90
41,C',D',30.10
42,E',E',7.60
43,E',F',34.20
44,F',G',2.40
45,G',H',1.10
